
---------- Begin Simulation Statistics ----------
simSeconds                                   1.221695                       # Number of seconds simulated (Second)
simTicks                                 1221694563539                       # Number of ticks simulated (Tick)
finalTick                                1221694563539                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    620.13                       # Real time elapsed on the host (Second)
hostTickRate                               1970057352                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8623384                       # Number of bytes of host memory used (Byte)
simInsts                                    125604829                       # Number of instructions simulated (Count)
simOps                                      223894936                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   202545                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     361043                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         91629384                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.729505                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.370792                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       297022431                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2394                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      277672038                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 873530                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             73129874                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         103364655                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 181                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            91625773                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.030501                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.584599                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  22544774     24.61%     24.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11459194     12.51%     37.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10745236     11.73%     48.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9706545     10.59%     59.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8174543      8.92%     68.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6669715      7.28%     75.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  10563949     11.53%     87.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7922240      8.65%     95.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3839577      4.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              91625773                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7784475     94.72%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      1      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    106      0.00%     94.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     94.72% # attempts to use FU when none available (Count)
