
---------- Begin Simulation Statistics ----------
simSeconds                                   2.832179                       # Number of seconds simulated (Second)
simTicks                                 2832179300414                       # Number of ticks simulated (Tick)
finalTick                                2832179300414                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1365.67                       # Real time elapsed on the host (Second)
hostTickRate                               2073838303                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8699084                       # Number of bytes of host memory used (Byte)
simInsts                                    233256945                       # Number of instructions simulated (Count)
simOps                                      421846218                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   170800                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     308893                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        212418759                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.910664                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.098100                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       658279656                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    54072                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      587647887                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                8239098                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            236487499                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         372405024                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               12642                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           212180890                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.769561                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.855070                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  84572656     39.86%     39.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  17987328      8.48%     48.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  13955237      6.58%     54.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10995919      5.18%     60.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12483801      5.88%     65.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  14476787      6.82%     72.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28867911     13.61%     86.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  17494285      8.24%     94.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11346966      5.35%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             212180890                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                20267328     92.56%     92.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 26342      0.12%     92.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.68% # attempts to use FU when none available (Count)
