
---------- Begin Simulation Statistics ----------
simSeconds                                   1.119112                       # Number of seconds simulated (Second)
simTicks                                 1119111514846                       # Number of ticks simulated (Tick)
finalTick                                1119111514846                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    522.15                       # Real time elapsed on the host (Second)
hostTickRate                               2143272874                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8630588                       # Number of bytes of host memory used (Byte)
simInsts                                     74476285                       # Number of instructions simulated (Count)
simOps                                      126086956                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   142633                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     241474                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         83935463                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.127009                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.887304                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       253783928                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2704                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      212220908                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2198790                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            127699665                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         208534596                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 244                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            83897989                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.529511                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.654453                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  33956858     40.47%     40.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6909322      8.24%     48.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6548147      7.80%     56.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6142584      7.32%     63.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6237990      7.44%     71.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6222618      7.42%     78.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   9840486     11.73%     90.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5640298      6.72%     97.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2399686      2.86%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              83897989                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7615026     98.32%     98.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     98.32% # attempts to use FU when none available (Count)
